Race_ID,Date,Course,Race_Number,Meeting_Number,Class,Distance,Ranking,Going,Race_Type,Surface,Runners,Prize,Time_1,Time_2,Time_3,Time_4,Sectional_1,Sectional_2,Sectional_3,Sectional_4,EW
34883,7/14/2021,Happy Valley,827,1,Class 5,1800,40-0,GOOD TO FIRM,VENTRIS HANDICAP,TURF - B Course,13,"750,000",13.71,35.86,59.46,01:23.9,13.71,22.15,23.6,24.46,4
34897,7/14/2021,Happy Valley,828,2,Class 5,1000,40-0,GOOD TO FIRM,LINK HANDICAP,TURF - B Course,12,"750,000",12.89,34.11,56.97,,12.89,21.22,22.86,,4
34910,7/14/2021,Happy Valley,829,3,Class 4,1200,60-40,GOOD TO FIRM,SUNG TAK HANDICAP,TURF - B Course,12,"1,000,000",23.43,45.36,01:08.6,,23.43,21.93,23.24,,4
34923,7/14/2021,Happy Valley,830,4,Class 4,1200,60-40,GOOD TO FIRM,SUNG TAK HANDICAP,TURF - B Course,13,"1,000,000",23.73,46.21,01:09.2,,23.73,22.48,22.97,,4
34937,7/14/2021,Happy Valley,831,5,Class 4,1650,60-40,GOOD TO FIRM,HAU TAK HANDICAP,TURF - B Course,12,"1,000,000",27.29,51.17,01:15.1,01:39.1,27.29,23.88,23.95,23.94,4
34950,7/14/2021,Happy Valley,832,6,Class 3,1800,80-60,GOOD TO FIRM,OI KWAN HANDICAP,TURF - B Course,12,"1,500,000",13.57,36,01:01.0,01:24.6,13.57,22.43,25.05,23.54,4
34963,7/14/2021,Happy Valley,833,7,Class 3,1000,80-60,GOOD TO FIRM,BROADWOOD HANDICAP,TURF - B Course,12,"1,500,000",12.68,33.69,56.24,,12.68,21.01,22.55,,4
34976,7/14/2021,Happy Valley,834,8,Class 2,1650,90-70,GOOD TO FIRM,WONG NAI CHUNG HANDICAP,TURF - B Course,12,"2,200,000",28.42,52.6,01:15.6,01:38.8,28.42,24.18,23.03,23.21,4
34989,7/14/2021,Happy Valley,835,9,Class 2,1200,90-70,GOOD TO FIRM,SPORTS ROAD HANDICAP,TURF - B Course,12,"2,200,000",23.34,45.37,01:08.6,,23.34,22.03,23.21,,4
34721,7/11/2021,Sha Tin,816,1,Class 5,1200,40-0,GOOD TO FIRM,MR AWARD HANDICAP,TURF - A Course,14,"750,000",23.57,45.6,01:09.3,,23.57,22.03,23.73,,4
