RS_ID,Race_ID,Date,Meeting_Number
140689,34883,2021-07-14,1
141094,34897,2021-07-14,2
141107,34910,2021-07-14,3
141120,34923,2021-07-14,4
141133,34937,2021-07-14,5
141146,34950,2021-07-14,6
141159,34963,2021-07-14,7
141172,34976,2021-07-14,8
141185,34989,2021-07-14,9
140934,34721,2021-07-11,1
140949,34736,2021-07-11,2
140964,34751,2021-07-11,3
140979,34767,2021-07-11,4
140994,34783,2021-07-11,5
141009,34798,2021-07-11,6
141024,34813,2021-07-11,7
141038,34827,2021-07-11,8
141050,34839,2021-07-11,9
141065,34854,2021-07-11,10
141079,34868,2021-07-11,11
140676,34604,2021-07-07,1
140830,34617,2021-07-07,2
140843,34630,2021-07-07,3
140856,34643,2021-07-07,4
140869,34656,2021-07-07,5
140882,34669,2021-07-07,6
140895,34682,2021-07-07,7
140908,34695,2021-07-07,8
140921,34708,2021-07-07,9
140666,34466,2021-07-04,1
140702,34476,2021-07-04,2
140716,34490,2021-07-04,3
140731,34505,2021-07-04,4
140744,34518,2021-07-04,5
140757,34531,2021-07-04,6
140772,34546,2021-07-04,7
140787,34561,2021-07-04,8
140800,34574,2021-07-04,9
140815,34589,2021-07-04,10
140527,34289,2021-07-01,1
140542,34304,2021-07-01,2
140555,34317,2021-07-01,3
140568,34330,2021-07-01,4
140583,34345,2021-07-01,5
140596,34358,2021-07-01,6
140611,34373,2021-07-01,7
140623,34385,2021-07-01,8
140638,34400,2021-07-01,9
140651,34413,2021-07-01,10
140377,34139,2021-06-26,1
140392,34154,2021-06-26,2
140407,34169,2021-06-26,3
140422,34184,2021-06-26,4
140437,34199,2021-06-26,5
140452,34214,2021-06-26,6
140467,34229,2021-06-26,7
140482,34244,2021-06-26,8
140497,34259,2021-06-26,9
140512,34274,2021-06-26,10
140276,34037,2021-06-23,1
140289,34050,2021-06-23,2
140302,34063,2021-06-23,4
140312,34073,2021-06-23,5
140325,34086,2021-06-23,6
140338,34099,2021-06-23,7
140351,34112,2021-06-23,8
140364,34125,2021-06-23,9
140135,33895,2021-06-20,1
140150,33910,2021-06-20,2
140163,33923,2021-06-20,3
140178,33938,2021-06-20,4
140193,33953,2021-06-20,5
140204,33964,2021-06-20,6
140219,33979,2021-06-20,7
140231,33991,2021-06-20,8
140246,34006,2021-06-20,9
140261,34022,2021-06-20,10
139990,33749,2021-06-13,1
139999,33758,2021-06-13,2
140012,33771,2021-06-13,3
140025,33784,2021-06-13,4
140038,33798,2021-06-13,5
140051,33811,2021-06-13,6
140066,33826,2021-06-13,7
140081,33841,2021-06-13,8
140094,33854,2021-06-13,9
