,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
0,SAND MARTIN HANDICAP,OFF THE REEL,P F Yiu,K Teetan,126.0,126.0,25.0,100.21602762265286,1
1,SAND MARTIN HANDICAP,LADY FIRST,A S Cruz,C L Chau,125.0,125.0,3.200000047683716,100.80511199116295,2
2,SAND MARTIN HANDICAP,YES WE CAN,T P Yung,A Badel,122.0,122.0,7.300000190734863,100.99366583713032,3
3,SAND MARTIN HANDICAP,LAND POWER,C Fownes,K H Chan,120.0,120.0,5.5,101.08074783772861,4
4,SAND MARTIN HANDICAP,BEST FOR YOU,Y S Tsui,K C Leung,123.0,123.0,11.0,101.18000252730366,5
5,SAND MARTIN HANDICAP,RUBY STARS,K L Man,N Callan,124.0,124.0,89.0,101.28289977022416,6
6,SAND MARTIN HANDICAP,EL VALIENTE,P O'Sullivan,J Moreira,119.0,119.0,4.900000095367432,101.3409144373448,7
7,SAND MARTIN HANDICAP,LIGHT MY DAY,C H Yip,M F Poon,119.0,119.0,44.0,101.44691984508908,8
8,SAND MARTIN HANDICAP,HANG'S DECISION,W Y So,Z Purton,131.0,131.0,11.0,101.45688910145397,9
9,SAND MARTIN HANDICAP,LUCKY MARYKNOLL,D A Hayes,R Maia,118.0,118.0,54.0,101.49166771919502,10
10,SAND MARTIN HANDICAP,SUN SUN FA FA,W Y So,C Wong,111.0,111.0,97.0,101.49695402338891,11
11,SAND MARTIN HANDICAP,DEAL MAKER,K H Ting,C Schofield,133.0,133.0,10.0,102.26090883446587,12
12,ALDRICH BAY HANDICAP,CITY LEGEND,T P Yung,C L Chau,125.0,125.0,4.699999809265137,77.38269892428877,1
13,ALDRICH BAY HANDICAP,GOLDEN MISSION,C W Chang,A Hamelin,122.0,122.0,14.0,78.01029705347904,2
14,ALDRICH BAY HANDICAP,GALAXY EMPEROR,A S Cruz,J Moreira,127.0,127.0,11.0,78.09389010258751,3
15,ALDRICH BAY HANDICAP,VIVA COUNCIL,L Ho,H T Mo,128.0,128.0,24.0,78.09520614060617,4
16,ALDRICH BAY HANDICAP,SEIZE THE SPIRIT,Y S Tsui,T Piccone,127.0,127.0,90.0,78.10023992320659,5
17,ALDRICH BAY HANDICAP,SPICY GRILL,K W Lui,V Borges,130.0,130.0,5.300000190734863,78.10167991447065,6
18,ALDRICH BAY HANDICAP,GALAXY RACER,R Gibson,M Chadwick,124.0,124.0,73.0,78.16451622001846,7
19,ALDRICH BAY HANDICAP,RED MAJESTY,D A Hayes,C Schofield,132.0,132.0,50.0,78.16520243798098,8
20,ALDRICH BAY HANDICAP,LITTLE GENERAL,C S Shum,A Badel,121.0,121.0,16.0,78.196787345508,9
21,ALDRICH BAY HANDICAP,FOR FUN'S SAKE,C Fownes,B Shinn,123.0,123.0,13.0,78.196787345508,10
22,ALDRICH BAY HANDICAP,WINWIN THIRTYTHREE,P F Yiu,K H Chan,126.0,126.0,12.0,78.21399331795521,11
23,ALDRICH BAY HANDICAP,WONDER BRAHMA,D J Hall,N Callan,120.0,120.0,12.0,78.26441227331952,12
24,ALDRICH BAY HANDICAP,VICTORIOUS LEADER,C H Yip,C Soumillon,129.0,129.0,12.0,78.37524852307625,13
25,ALDRICH BAY HANDICAP,DESTIN,P O'Sullivan,Z Purton,133.0,133.0,5.099999904632568,78.65846104870052,14
26,VICTORIA HARBOUR HANDICAP,BEAUTY APPLAUSE,J Size,J Moreira,131.0,131.0,9.399999618530273,72.33099074643532,1
27,VICTORIA HARBOUR HANDICAP,CALIFORNIADEEPSHOT,A S Cruz,C Soumillon,123.0,123.0,4.099999904632568,72.70255636565076,2
28,VICTORIA HARBOUR HANDICAP,ROMAN TURBO,C S Shum,A Badel,118.0,118.0,7.599999904632568,72.73214849614459,3
29,VICTORIA HARBOUR HANDICAP,DUKE WAI,P O'Sullivan,C L Chau,125.0,125.0,5.599999904632568,72.96136788689044,4
30,VICTORIA HARBOUR HANDICAP,HANDSOME BO BO,C S Shum,Z Purton,121.0,121.0,5.099999904632568,73.05193788032756,5
31,VICTORIA HARBOUR HANDICAP,ALL IN MIND,A S Cruz,M Chadwick,120.0,120.0,16.0,73.07706978039496,6
32,VICTORIA HARBOUR HANDICAP,VICTORIAM,K W Lui,N Callan,127.0,127.0,93.0,73.35168732667458,7
33,VICTORIA HARBOUR HANDICAP,SPEND,D J Hall,H T Mo,114.0,114.0,65.0,73.43967906859274,8
34,VICTORIA HARBOUR HANDICAP,HIGHLAND FORTUNE,K W Lui,K Teetan,124.0,124.0,10.0,73.45458456959508,9
35,VICTORIA HARBOUR HANDICAP,TEAM SPIRIT,W Y So,T Piccone,124.0,124.0,24.0,73.46984626483538,10
36,VICTORIA HARBOUR HANDICAP,GUY DRAGON,C Fownes,C Y Ho,119.0,119.0,12.0,73.66578415818918,11
37,VICTORIA HARBOUR HANDICAP,RACING FIGHTER,C H Yip,K C Leung,123.0,123.0,44.0,73.71335778734664,12
