Horse_ID,Horse_Name,Horse_Code,State,Country,Age,Color,Sex,Import_type,Total_Stakes,Owner,Last_Rating,Sire,Dam,Dam_sire
1,SUPER AXIOM,E105,Active,AUS,3,Bay , Gelding,PPG,"570,000","Tony Lau Yiu Tong, Thomas Lau Sum Fai & Lau Yi Fai",,Exceed And Excel,Stella Senza Cielo,Elusive City
2,SEA ELITE,E076,Active,AUS,4,Bay , Gelding,PPG,"115,000",HK Golf Club Racing Syndicate,,Zoffany,Exquisite,Viscount
3,LITTLE PLAYER,E066,Active,NZ,4,Bay , Gelding,PPG,"120,000",Mr & Mrs Michael Ling Siu Ming,,Proisir,Scrutiny,Exceed And Excel
4,NEW FUTURE,E039,Active,AUS,4,Bay , Gelding,PPG,"790,000",Cheng Ying Yim,,The Factor,New Moves,Easy Rocking
5,RED MAJESTY,E028,Active,NZ,4,Bay , Gelding,PPG,0,"Pong Kin Yee, Samson Yip Yan Tion, Gary Chan Ming Lee & David Liao Yi Chien",,Ferlax,Little Tee,Volksraad
6,VICTORIA GENERAL,E021,Active,NZ,4,Bay , Gelding,PPG,"115,000",Wong Wai Hung & Wong Chan Sau King,,So You Think,Sometyne,Thorn Park
7,PICHU,E011,Active,NZ,4,Bay , Gelding,PPG,0,Michelle Chan Kam Ha,,Power,Mumtaz,Cape Cross
8,SKY CHAMPION,E010,Active,NZ,4,Bay , Gelding,PPG,"35,000",Skymark Syndicate,,Per Incanto,Bilancia,Montjeu
9,SAVAQUIN,D479,Active,NZ,4,Bay , Gelding,PP,"1,105,500",Winnie Law Wing Yin,,Savabeel,Sequin,Pins
10,IMA SINGLE MAN,D476,Active,AUS,3,Bay , Gelding,PP,"225,000",Fion Luk Sin Fong,,Gingerbread Man,Single Spice,Not A Single Doubt
11,HELENE WISDOM STAR,D460,Active,IRE,4,Bay , Gelding,PP,"469,500","Sir Po-shing & Lady Woo, Jackson Woo Ka Biu and Dawson Woo Ka Chung",,Charm Spirit,Ibizane,Elusive Quality
12,AION,D447,Active,AUS,3,Chestnut , Gelding,PPG,0,Andrea Tien & Arthur Cheng,,Pride Of Dubai,La Dolce Diva,Fusaichi Pegasus
13,STRONG ALLIANCE,D445,Active,AUS,4,Bay / Brown , Gelding,PPG,0,Yan Oi Racing Syndicate,,Olympic Glory,Macedon Lady,Filante
14,MAN STAR,D429,Active,AUS,4,Chestnut , Gelding,PP,"90,000",Ma Hing Man,,Shooting To Win,Across The Moon,Stratum
15,WEALTHY DELIGHT,D424,Active,AUS,4,Bay , Gelding,PP,"1,447,500",Peter Law Kin Sang,,Lord Kanaloa,Bariloche,Deep Impact
16,VIVA CHEF,D411,Active,NZ,4,Brown , Colt,PPG,"720,000",Jimmy Chung Kwok Man,,Sacred Falls,Savabeel Star,Savabeel
17,LUCKY TURBO,D400,Active,AUS,4,Bay , Gelding,PPG,0,"Ma Ching Fat, Matthew Ma Hing Chuen & Maurice Ma Hing Kam",,Star Witness,Princess Paris,Krupt
18,METRO WARRIOR,D387,Active,AUS,4,Bay , Gelding,PP,"1,570,250",Metro Express Syndicate,,Fastnet Rock,Scandinavia,Snippets
19,PRINCE OF BON BON,D383,Active,SAF,5,Brown , Gelding,PP,0,George Hing Chang,,Querari,La Garita,Lateral
20,MORE THAN ENOUGH,D372,Active,NZ,4,Grey , Gelding,PPG,"1,221,190",Kathy Ma So Lan,,Dalghar,Worship,Irish River
21,TELECOM JAC,D368,Active,AUS,5,Bay , Gelding,PP,"105,000",Sunny Cheung King Fung,,The Factor,Flying Flitter,Flying Spur
22,JOLLY GOOD HEART,D366,Active,AUS,5,Bay , Gelding,PP,"475,000",Jolly Time Syndicate,,Danerich,Destiny Lady,Ne Coupez Pas
23,SUPER COMMANDER,D350,Active,SAF,4,Bay , Gelding,PP,0,Sidney Leung Kwun Wa,,Vercingetorix,War Path,Captain Al
24,BLAZING BEAT,D342,Active,IRE,4,Chestnut , Gelding,PP,"52,500","Wong Chor Kei, Lau Siu Wai, Raymond Wong Man Piu & Ryan Wong Man Kwong",,Gleneagles,Pearl Grey,Gone West
25,REWARDING TOGETHER,D334,Active,AUS,4,Bay , Gelding,PPG,"1,202,353",Lee Fung Tai & Virginia Lee Yuen Man,,Pierro,Bella Rossie,Testa Rossa
26,JOLLY FOREVER,D331,Active,AUS,4,Bay , Gelding,PPG,"26,250",Michael Kwan Wing Lok & Doda Kwan,,Declaration Of War,Iguana Jo,Dynaformer
27,DELIGHTFUL LAOS,D321,Active,IRE,4,Bay , Gelding,PP,"4,493,250",Cheng Keung Fai,,Baltic King,Pepys Tillergirl,Tillerman
28,HAPPY RUBY,D313,Active,SAF,4,Bay , Gelding,ISG,0,Allen Shi Lop Tak & Kimmy Ngan King Lin,,Silvano,Happy Ever After,National Assembly
29,SPEED TO EXCEED,D304,Active,IRE,4,Grey , Gelding,ISG,0,Derek Tam Lap Tak,,Exceed And Excel,Callistan,Galileo
30,KINDA COOL,D297,Active,NZ,4,Chestnut , Gelding,PPG,"2,418,155",Righteousness Syndicate,,Per Incanto,Virginia Key,Mark Of Esteem
31,PRIME MINISTER,D288,Active,NZ,5,Bay , Gelding,PP,"330,000",Sayyid Syndicate,,Makfi,Khagan,Viking Ruler
32,GRATEFUL HEART,D278,Active,AUS,4,Chestnut , Gelding,PP,"5,305,000",Charley Chan Wing Chin & Sunny Cheung Chi Cheong,,Written Tycoon,Show Affection,Show A Heart
33,CALIFORNIADEEPSHOT,D276,Active,AUS,4,Chestnut , Gelding,PP,"4,305,750",Chloe Liang Shun Yin,,Deep Field,Vormista,Testa Rossa
34,MANAGEMENT SUPREME,D248,Active,AUS,4,Bay , Gelding,PPG,"1,061,585",Mr & Mrs Ho Ying Cheung,,Wandjina,Guelder,O'Reilly
35,BOND A STAR,D244,Active,AUS,4,Chestnut , Gelding,PPG,0,Bond Uni Alumni Syndicate,,Starcraft,Savalook,Savabeel
36,ORIENTAL AMIGO,D232,Active,AUS,5,Chestnut , Gelding,PP,"60,000",Pui Kwan Kay,,More Than Ready,Gamble Me,Rock Of Gibraltar
37,RUN THE TABLE,D229,Active,AUS,4,Bay , Gelding,PPG,"497,500",The Whisperer Syndicate,,The Brothers War,Miss Cacciatore,Snitzel
38,LARSON,D199,Active,AUS,4,Brown , Gelding,PP,"3,250,500",Vincent Li Hoi Yuen,,Better Than Ready,La Tikka Rosa,Freeze
39,WIND N GRASS,D197,Active,IRE,5,Brown , Gelding,PP,"1,952,625",The Hon & Mrs Kenneth Lau Ip Keung,,Lawman,Roystonea,Polish Precedent
40,SMILING FACE,D192,Active,GB,4,Bay , Gelding,PPG,"523,750","Ho Tze Man, Irene Lam Tak Wing & Simon Chau Sik Ming",,Acclamation,Enigmatique,Arcano
41,GLORIOUS LOVER,D191,Active,IRE,5,Bay , Gelding,PP,"802,000",The Racing Alliance Syndicate,,Tamayuz,Love Match,Danehill Dancer
42,WE THE SOUTH,D149,Active,AUS,4,Bay , Gelding,PPG,"3,917,430","Chan Man Chun, James Mathew Fong, Vincent Wong Ling Sun & Timothy Wong Cheuk Tim",,Your Song,Tonkatsu,Clang
43,CALIFORNIA RAD,D147,Active,AUS,4,Bay , Gelding,PPG,"8,180,185",Charmian Liang Shun Ming,,Fastnet Rock,Radharcnafarraige,Distorted Humor
44,MORE THAN A HORSE,D141,Active,AUS,5,Brown , Gelding,PP,"632,500",Barry Lee Wing Tai,,More Than Ready,Xandretta,Flying Spur
45,BRAVE KING,D132,Active,IRE,5,Chestnut , Gelding,PP,"595,750",Lianne Lam & Matthew Lam Kin Hong,,Zoffany,Ban Draiocht,Desert Sun
46,SUPERBELLA,D128,Active,GB,5,Bay , Gelding,PP,"60,000",Elizabeth Lee Ho Ling,,Passing Glance,Lizzie Tudor,Tamayuz
47,WINNING STRIKES,D104,Active,NZ,4,Chestnut , Gelding,PPG,"171,205",Louisa Tse,,Swiss Ace,Kahala,Captain Rio
48,WILL POWER,D093,Active,NZ,5,Brown , Gelding,PPG,"5,639,880",Mutual Interest Syndicate,,Power,Lilahjay,Tavistock
49,CHAMP PATROL,D086,Active,NZ,5,Bay , Gelding,PP,"638,845",Alan Chan Yau Yuet & Chris Chan Cheong Hoi,,Tavistock,Danvers,Danzero
50,AMAZING KIWI,D068,Retired,AUS,,Chestnut , Gelding,PP,"1,543,750",Antony Ip Ren Haw,67,Helmet,Cara Bella,Seeking The Gold
51,XPONENTIAL,D049,Active,AUS,5,Bay , Gelding,PPG,"1,512,670",Jeffrey Kwan Teng Hin,,Equiano,Eternal Circle,Fastnet Rock
52,UNITED WE STAND,D048,Active,AUS,4,Bay , Gelding,PPG,"1,303,250",Dr Jimmy Wong Chi Ho,,Delago Deluxe,Register,Zeditave
53,WINNER'S HEART,D044,Active,AUS,5,Bay , Gelding,PPG,"829,210",Top Maestro Syndicate,,Ambidexter,Belle d'Orleans,General Nediym
54,BLOTTING PAPER,D043,Active,AUS,5,Brown , Gelding,PP,"823,845",Mr & Mrs Andrew Wong Kwok Kin,,Uncle Mo,Redtruth,Testa Rossa
55,ISLAND SHINE,D040,Active,NZ,5,Brown , Gelding,PP,"1,783,500",Ng To,,Darci Brahma,Lucky Be Lucky,Storm Cat
56,HAPPY ICHIBAN,D037,Active,AUS,4,Bay , Gelding,PPG,"413,250",Happy Valley Brothers Syndicate,,Nicconi,Sheen,Cape Cross
57,NEXTMODEL,D015,Active,AUS,5,Bay , Gelding,PPG,"940,415",Chan Bun & Regina Pang Oi Fung,,Stratum,Rock On Bye,Octagonal
58,JOY N FUN LEGEND,D012,Active,NZ,5,Bay , Gelding,PPG,0,"Johnny Wong Chun Nam, Nancy Wong, Maizie Wong & Wong Chi Poh",,Shocking,Gin Player,Defensive Play
59,INCANTO PREPARED,D009,Active,NZ,5,Bay , Gelding,PPG,"3,668,220",Wong Poh Weng,,Per Incanto,Prepared,Perfectly Ready
60,BEAUTY ANGEL,C541,Active,GB,5,Bay , Gelding,ISG,"3,021,240",Beauty Family Syndicate,,Dark Angel,Handana,Desert Style
61,HAPPILY FRIENDS,C533,Active,IRE,5,Bay , Gelding,ISG,"412,690","Bill Mok Yuen Bill, Yip Wing Kui, John Yuen Se Kit & Raymond Choy Wai Shek",,Requinto,Maraglen,Rock Of Gibraltar
62,WONDER BRAHMA,C525,Active,NZ,5,Bay / Brown , Gelding,ISG,"222,068",Derek Tam Lap Tak,,Darci Brahma,Myback,Dubawi
