Trainer_ID,name,HV_races,HV_wins,HV_placed,HV_rate,ST_races,ST_wins,ST_placed,ST_rate,Total_wins,Total_second_places,Total_third_places,Total_fourth_places,Total_rides,Win_percentage
1,T P Yung,1066,58,135,5.44%,2150,175,355,8.14%,233,266,224,213,3216,7.25%
2,K L Man,3103,231,529,7.44%,4812,291,639,6.05%,522,574,594,624,7915,6.6%
3,C H Yip,3542,301,570,8.5%,6385,435,918,6.81%,736,733,755,759,9927,7.41%
4,D E Ferraris,2969,204,515,6.87%,4396,222,608,5.05%,426,563,560,617,7365,5.78%
5,A S Cruz,3929,403,705,10.26%,8862,868,1587,9.79%,1271,1198,1094,1041,12791,9.94%
6,C S Shum,2634,263,464,9.98%,4640,384,696,8.28%,647,577,583,553,7274,8.89%
7,L Ho,3465,292,603,8.43%,5255,293,629,5.58%,585,615,617,629,8720,6.71%
8,D J Whyte,356,33,58,9.27%,616,51,118,8.28%,84,86,90,85,972,8.64%
9,P F Yiu,3423,306,554,8.94%,6629,514,998,7.75%,820,784,768,782,10052,8.16%
10,W Y So,1331,94,191,7.06%,2434,182,347,7.48%,276,283,255,282,3765,7.33%
11,C W Chang,1686,80,236,4.74%,3630,211,517,5.81%,291,366,387,371,5316,5.47%
12,K H Ting,484,53,62,10.95%,713,48,79,6.73%,101,66,75,84,1197,8.44%
13,K W Lui,3289,301,545,9.15%,6101,408,873,6.69%,709,720,698,722,9390,7.55%
14,Y S Tsui,3043,252,499,8.28%,5216,305,726,5.85%,557,611,614,589,8259,6.74%
15,D J Hall,2000,142,275,7.1%,3813,350,644,9.18%,492,470,449,468,5813,8.46%
16,A T Millard,2675,249,425,9.31%,5091,388,851,7.62%,637,623,653,622,7766,8.2%
17,F C Lor,633,69,126,10.9%,1344,168,262,12.5%,237,192,196,191,1977,11.99%
18,P O'Sullivan,1993,157,339,7.88%,3808,312,590,8.19%,469,454,475,446,5801,8.08%
19,C Fownes,3825,503,786,13.15%,5717,411,899,7.19%,914,863,822,813,9542,9.58%
20,R Gibson,1417,87,243,6.14%,2187,156,338,7.13%,243,275,306,297,3604,6.74%
21,J Size,2768,300,568,10.84%,6321,942,1322,14.9%,1242,1048,842,841,9089,13.66%
22,D A Hayes,1541,135,225,8.76%,3724,347,648,9.32%,482,456,417,443,5265,9.15%
23,A P O'Brien,,,,0%,26,3,3,11.54%,3,2,1,1,26,11.54%
24,J Reynier,,,,0%,2,,,0%,,,,,2,0%
25,T Yasuda,,,,0%,7,3,,42.86%,3,,,,7,42.86%
26,K Fujisawa,,,,0%,6,,1,0%,,,1,,6,0%
27,Y Tomomichi,,,,0%,3,1,2,33.33%,1,1,1,,3,33.33%
28,K J Condon,,,,0%,1,,,0%,,,,,1,0%
29,K Hagiwara,,,,0%,2,1,,50%,1,,,1,2,50%
30,Y Hatakeyama,,,,0%,3,2,1,66.67%,2,1,,,3,66.67%
31,M Nakauchida,,,,0%,1,,,0%,,,,1,1,0%
32,J Moore,4836,514,897,10.63%,11211,1146,2114,10.22%,1660,1485,1526,1418,16047,10.34%
33,J Lau,1,,1,0%,14,1,1,7.14%,1,1,1,3,15,6.67%
34,T Ozeki,,,,0%,4,1,1,25%,1,1,,,4,25%
35,M Matsunaga,,,,0%,1,,1,0%,,1,,,1,0%
36,M Hashida,,,,0%,9,,1,0%,,1,,4,9,0%
37,P Brandt,,,,0%,1,,,0%,,,,,1,0%
38,W P Mullins,,,,0%,3,,,0%,,,,,3,0%
39,W J Haggas,,,,0%,6,,,0%,,,,,6,0%
40,C Fellowes,,,,0%,2,,,0%,,,,,2,0%
41,R Charlton,,,,0%,7,,2,0%,,1,1,,7,0%
42,K Lees,,,,0%,2,,,0%,,,,,2,0%
43,Y Ikee,,,,0%,11,1,,9.09%,1,,,3,11,9.09%
44,H Otonashi,,,,0%,3,,,0%,,,,,3,0%
45,Sir M R Stoute,,,,0%,23,2,4,8.7%,2,2,2,,23,8.7%
46,de Royer Dupre,,,,0%,21,2,7,9.52%,2,2,5,3,21,9.52%
47,K H Leong,,,,0%,2,,,0%,,,,1,2,0%
48,K C Tse,,,,0%,1,,,0%,,,,,1,0%
49,S H Cheong,,,,0%,3,,,0%,,,,,3,0%
50,A Freedman,,,,0%,1,,,0%,,,,1,1,0%
51,H Sugiura,,,,0%,3,,,0%,,,,,3,0%
52,L Kennewell,,,,0%,1,,,0%,,,,,1,0%
53,M Pitman,,,,0%,1,,,0%,,,,,1,0%
54,Y Yahagi,,,,0%,8,1,3,12.5%,1,1,2,,8,12.5%
55,Sir M Todd,,,,0%,1,,,0%,,,,,1,0%
56,D K Weld,,,,0%,7,1,2,14.29%,1,1,1,,7,14.29%
57,A Fabre,,,,0%,17,2,4,11.76%,2,3,1,1,17,11.76%
58,S Kirk,,,,0%,1,,,0%,,,,,1,0%
59,K Nishiura,,,,0%,1,,,0%,,,,,1,0%
60,J P O'Brien,,,,0%,1,,,0%,,,,,1,0%
61,E A L Dunlop,,,,0%,11,3,,27.27%,3,,,1,11,27.27%
62,S Gray,,,,0%,1,,,0%,,,,,1,0%
63,Y Takahashi,,,,0%,2,,,0%,,,,1,2,0%
64,D R C Elsworth,,,,0%,6,,1,0%,,,1,1,6,0%
65,A M Balding,,,,0%,9,1,,11.11%,1,,,,9,11.11%
66,C Waller,,,,0%,2,,,0%,,,,,2,0%
67,H Asami,,,,0%,2,,,0%,,,,2,2,0%
68,Ed Walker,,,,0%,2,,,0%,,,,,2,0%
69,H Fujiwara,,,,0%,12,,5,0%,,1,4,1,12,0%
70,M J Freedman,98,4,17,4.08%,248,14,34,5.65%,18,28,23,16,346,5.2%
71,A Lee,1816,115,234,6.33%,3585,204,455,5.69%,319,341,348,387,5401,5.91%
72,D Cruz,3087,241,489,7.81%,4998,311,635,6.22%,552,522,602,596,8085,6.83%
73,R M Beckett,,,,0%,3,,,0%,,,,1,3,0%
74,P Leyshan,,,,0%,4,,,0%,,,,,4,0%
75,J M Moore,,,,0%,4,,,0%,,,,,4,0%
76,C Appleby,,,,0%,2,,,0%,,,,,2,0%
77,K Sumii,,,,0%,5,2,,40%,2,,,1,5,40%
78,R Hannon,,,,0%,2,,,0%,,,,,2,0%
79,A Couetil,,,,0%,1,,,0%,,,,,1,0%
80,T Umeda,,,,0%,1,,,0%,,,,,1,0%
81,D Guillemin,,,,0%,1,,,0%,,,,,1,0%
82,P Miller,,,,0%,1,,,0%,,,,,1,0%
83,M Saito,,,,0%,4,,1,0%,,1,,1,4,0%
84,F Rohaut,,,,0%,2,,,0%,,,,,2,0%
85,D Simcock,,,,0%,2,,,0%,,,,,2,0%
86,F-H Graffard,,,,0%,1,,,0%,,,,,1,0%
87,N Hori,,,,0%,12,5,3,41.67%,5,1,2,2,12,41.67%
88,R Okubo,,,,0%,2,,,0%,,,,,2,0%
89,H J L Dunlop,,,,0%,1,,,0%,,,,,1,0%
