,year,month,day,humidity,sha_tin_min,sha_tin_max,happy_velley_min,happy_velley_max
0,2008,01,01,25-40,9.5,16.4,9.8,18.0
1,2008,01,02,31-53,7.9,16.5,9.9,18.2
2,2008,01,03,40-71,7.2,18.9,10.4,20.3
3,2008,01,04,60-83,9.3,19.5,12.6,19.8
4,2008,01,05,40-81,9.0,21.6,12.1,23.3
5,2008,01,06,67-81,12.8,22.1,14.7,22.6
6,2008,01,07,52-82,12.8,25.8,14.9,26.8
7,2008,01,08,55-85,18.4,24.4,18.7,24.5
8,2008,01,09,67-86,17.9,25.5,17.8,25.0
9,2008,01,10,77-96,19.8,21.9,20.0,21.2
10,2008,01,11,87-97,19.9,26.6,19.8,23.1
11,2008,01,12,58-96,18.5,26.8,18.8,28.4
12,2008,01,13,64-93,0.0,0.0,15.9,22.0
13,2008,01,14,63-72,0.0,0.0,13.6,17.9
14,2008,01,15,62-88,12.1,16.1,12.0,16.6
15,2008,01,16,55-69,10.2,16.1,12.3,17.7
16,2008,01,17,62-80,9.5,12.5,11.3,14.0
17,2008,01,18,73-86,10.1,16.4,12.6,16.7
18,2008,01,19,77-95,15.2,18.9,14.9,18.8
19,2008,01,20,71-93,15.9,24.8,15.3,25.0
20,2008,01,21,61-90,14.9,22.6,15.0,22.8
21,2008,01,22,59-88,14.0,21.6,15.2,21.8
22,2008,01,23,52-74,13.6,19.9,15.5,20.6
23,2008,01,24,61-92,10.3,17.3,11.4,18.1
24,2008,01,25,81-99,10.3,12.5,11.6,13.4
25,2008,01,26,85-95,8.7,13.0,11.8,14.8
26,2008,01,27,80-89,7.7,9.7,10.7,12.7
27,2008,01,28,79-94,8.6,15.0,11.8,17.0
28,2008,01,29,81-98,9.8,12.5,10.9,15.1
29,2008,01,30,85-99,7.7,12.3,9.3,14.5
30,2008,01,31,83-100,6.5,9.2,8.1,11.1
31,2008,02,01,82-88,8.2,11.3,10.4,12.1
32,2008,02,02,83-98,6.7,8.8,7.9,11.3
33,2008,02,03,57-82,6.5,15.3,8.3,16.3
34,2008,02,04,72-92,9.0,12.5,10.3,13.8
35,2008,02,05,79-93,10.3,12.6,11.9,14.1
36,2008,02,06,63-82,8.6,13.5,10.1,15.1
37,2008,02,07,70-93,7.0,10.7,8.0,11.5
38,2008,02,08,53-77,9.0,14.2,10.0,14.9
39,2008,02,09,43-62,7.5,14.4,8.1,16.8
40,2008,02,10,52-73,9.6,12.4,10.6,14.4
41,2008,02,11,55-83,7.4,11.6,8.7,12.7
42,2008,02,12,36-68,7.5,14.3,8.6,16.5
43,2008,02,13,46-62,9.2,14.0,10.0,14.7
44,2008,02,14,46-82,11.0,14.0,8.9,15.4
45,2008,02,15,39-75,9.5,17.7,9.5,15.6
46,2008,02,16,44-82,9.3,17.6,10.9,18.9
47,2008,02,17,59-88,12.5,19.4,12.4,20.4
48,2008,02,18,59-85,13.6,21.1,13.7,21.9
49,2008,02,19,60-89,12.5,20.5,12.8,20.9
50,2008,02,20,54-88,11.6,21.6,11.9,22.5
51,2008,02,21,54-86,10.8,23.1,12.2,23.2
52,2008,02,22,68-93,15.5,19.2,0.0,0.0
53,2008,02,23,85-97,16.0,20.7,15.2,20.4
54,2008,02,24,74-90,13.5,16.1,13.8,15.4
55,2008,02,25,82-89,13.2,16.6,12.7,16.9
56,2008,02,26,67-98,12.2,19.7,13.4,20.2
57,2008,02,27,52-85,10.0,17.6,11.2,19.0
58,2008,02,28,47-86,9.6,19.5,11.2,20.0
59,2008,02,29,46-74,12.3,17.4,13.4,19.2
60,2008,03,01,36-68,9.2,21.4,11.4,22.2
61,2008,03,02,34-77,9.5,25.0,12.8,26.6
62,2008,03,03,27-80,10.3,26.2,14.2,26.3
63,2008,03,04,38-76,11.1,23.3,15.0,23.5
64,2008,03,05,42-75,12.8,20.4,14.3,21.1
65,2008,03,06,45-73,12.4,21.0,14.6,21.1
66,2008,03,07,54-84,15.1,22.8,16.4,23.6
67,2008,03,08,54-83,15.3,24.2,15.5,24.3
68,2008,03,09,64-89,13.9,25.0,15.2,23.7
69,2008,03,10,58-88,15.9,23.8,16.4,23.9
70,2008,03,11,53-89,15.6,26.0,16.5,24.4
71,2008,03,12,63-88,16.1,23.2,0.0,0.0
72,2008,03,13,67-95,18.0,25.5,18.6,25.1
73,2008,03,14,63-86,19.2,24.6,19.5,23.9
74,2008,03,15,46-80,17.7,23.3,17.9,24.3
75,2008,03,16,62-91,18.0,25.6,18.2,25.2
76,2008,03,17,76-92,20.0,23.9,20.2,23.9
77,2008,03,18,78-97,19.6,24.5,19.9,24.6
78,2008,03,19,62-95,19.1,28.5,19.5,29.5
79,2008,03,20,68-87,18.9,21.1,19.2,20.7
80,2008,03,21,77-89,18.5,20.9,18.3,23.1
81,2008,03,22,86-99,19.7,21.2,19.2,20.7
82,2008,03,23,68-94,17.9,20.2,18.1,20.5
83,2008,03,24,49-82,16.3,24.4,17.8,25.8
84,2008,03,25,61-86,17.1,20.3,17.8,20.9
85,2008,03,26,71-97,14.7,20.2,15.1,20.4
86,2008,03,27,63-92,13.5,23.6,15.5,23.5
87,2008,03,28,84-100,21.2,24.8,21.1,23.9
88,2008,03,29,68-97,21.8,28.1,22.2,27.1
89,2008,03,30,81-94,21.4,26.6,0.0,0.0
90,2008,03,31,94-97,16.6,22.1,0.0,0.0
91,2008,04,01,93-99,16.4,17.3,16.4,17.5
92,2008,04,02,88-99,16.8,19.0,17.0,20.2
93,2008,04,03,95-99,16.7,19.5,17.9,19.6
94,2008,04,04,84-99,18.7,24.6,18.6,26.4
95,2008,04,05,76-98,20.0,27.1,20.5,29.1
96,2008,04,06,68-97,19.0,28.5,20.2,29.5
97,2008,04,07,65-95,21.3,29.8,21.9,30.9
98,2008,04,08,74-86,24.5,28.8,0.0,0.0
99,2008,04,09,78-88,24.9,28.1,0.0,0.0
100,2008,04,10,77-96,22.5,28.2,23.8,28.2
101,2008,04,11,85-93,21.6,25.6,21.8,25.6
102,2008,04,12,86-97,21.5,24.6,21.5,25.8
103,2008,04,13,89-99,21.5,24.2,21.5,23.6
104,2008,04,14,79-94,21.2,24.6,21.5,24.2
105,2008,04,15,68-89,21.3,27.1,21.7,27.4
106,2008,04,16,66-91,21.0,30.5,20.9,30.4
107,2008,04,17,73-90,22.4,28.9,22.7,29.1
108,2008,04,18,74-89,21.9,24.3,21.8,23.9
109,2008,04,19,81-100,20.9,26.2,20.8,25.1
110,2008,04,20,76-89,24.6,28.4,24.8,27.6
111,2008,04,21,75-95,23.3,29.9,24.3,28.8
112,2008,04,22,60-94,23.2,31.3,23.1,32.1
113,2008,04,23,64-87,19.6,23.5,20.9,24.8
114,2008,04,24,67-80,19.2,21.9,19.6,22.3
115,2008,04,25,68-92,18.8,22.1,0.0,0.0
116,2008,04,26,55-82,18.8,27.7,0.0,0.0
117,2008,04,27,75-92,21.6,25.0,0.0,0.0
118,2008,04,28,86-99,19.9,21.9,0.0,0.0
119,2008,04,29,71-87,20.3,25.7,21.0,25.4
120,2008,04,30,70-91,21.9,26.7,21.9,27.4
121,2008,05,01,73-91,22.3,27.1,22.5,27.4
122,2008,05,02,85-98,22.5,24.6,22.4,25.3
123,2008,05,03,84-98,23.1,27.5,23.2,28.7
124,2008,05,04,70-98,24.1,31.2,24.1,31.0
125,2008,05,05,72-97,21.1,30.3,21.5,30.4
126,2008,05,06,74-93,19.8,23.6,19.3,24.5
127,2008,05,07,78-93,22.1,28.5,22.1,28.0
128,2008,05,08,70-95,24.4,31.4,24.0,31.5
129,2008,05,09,66-92,25.1,32.1,25.8,32.7
130,2008,05,10,68-92,21.1,26.3,20.8,27.3
131,2008,05,11,74-92,19.8,24.2,19.9,25.3
132,2008,05,12,65-82,22.0,29.3,22.2,29.6
133,2008,05,13,42-83,20.5,28.9,21.2,28.0
134,2008,05,14,56-83,21.5,29.2,22.0,29.6
135,2008,05,15,48-81,20.6,29.1,21.3,29.2
136,2008,05,16,51-83,21.6,28.4,22.5,29.2
137,2008,05,17,51-84,21.8,29.1,22.8,28.2
138,2008,05,18,65-81,21.4,29.1,22.6,28.1
139,2008,05,19,82-98,21.9,24.8,21.2,25.1
140,2008,05,20,95-99,20.3,22.6,19.9,22.1
141,2008,05,21,83-96,20.4,24.8,0.0,0.0
142,2008,05,22,87-98,23.1,26.2,22.6,26.6
143,2008,05,23,68-99,24.1,30.7,23.8,30.6
144,2008,05,24,72-90,25.3,30.9,26.1,29.9
145,2008,05,25,76-91,25.8,30.0,26.3,29.8
146,2008,05,26,80-97,25.7,30.2,25.5,29.5
147,2008,05,27,75-89,25.5,31.3,26.4,30.9
148,2008,05,28,79-91,26.6,30.1,26.8,28.9
149,2008,05,29,81-99,24.1,28.5,23.6,28.2
150,2008,05,30,82-97,24.0,28.4,24.3,28.1
151,2008,05,31,86-98perent,24.3,27.8,0.0,0.0
152,2008,06,01,86-99,23.3,27.6,0.0,0.0
153,2008,06,02,87-100,23.6,29.0,0.0,0.0
154,2008,06,03,88-99,23.4,28.1,23.4,27.8
155,2008,06,04,90-99,24.1,26.7,23.4,25.9
156,2008,06,05,77-93,22.9,30.5,23.1,29.9
157,2008,06,06,92-99,22.8,25.0,22.5,25.1
158,2008,06,07,85-100,22.7,25.2,22.5,27.3
159,2008,06,08,81-92,24.2,29.5,26.2,28.8
160,2008,06,09,72-88,26.6,30.9,26.5,30.0
161,2008,06,10,77-88,27.1,31.5,26.8,30.0
162,2008,06,11,66-89,23.4,30.4,25.2,29.8
163,2008,06,12,72-94,25.2,30.9,25.4,31.0
164,2008,06,13,81-97,23.3,28.6,23.1,28.2
165,2008,06,14,83-99,23.4,27.0,23.1,26.9
166,2008,06,15,82-100,24.4,29.7,24.0,28.9
167,2008,06,16,89-99,25.0,28.9,25.0,27.8
168,2008,06,17,88-100,24.6,25.9,23.9,25.5
169,2008,06,18,84-98,24.3,28.0,24.0,27.1
170,2008,06,19,76-99,24.3,30.8,23.9,28.8
