Horse_ID,Horse_Name,Country,URL,URL_Country,Foal_Date,success_flag
1,SUPER AXIOM,AUS,https://www.racenet.com.au/profiles/horse/super-axiom,https://www.racenet.com.au/profiles/horse/super-axiom-aus,9/8/2017,1
2,SEA ELITE,AUS,https://www.racenet.com.au/profiles/horse/sea-elite,https://www.racenet.com.au/profiles/horse/sea-elite-aus,,0
3,LITTLE PLAYER,NZ,https://www.racenet.com.au/profiles/horse/little-player,https://www.racenet.com.au/profiles/horse/little-player-nz,11/10/2016,1
4,NEW FUTURE,AUS,https://www.racenet.com.au/profiles/horse/new-future,https://www.racenet.com.au/profiles/horse/new-future-aus,12/10/2016,1
5,RED MAJESTY,NZ,https://www.racenet.com.au/profiles/horse/red-majesty,https://www.racenet.com.au/profiles/horse/red-majesty-nz,13/09/2016,1
6,VICTORIA GENERAL,NZ,https://www.racenet.com.au/profiles/horse/victoria-general,https://www.racenet.com.au/profiles/horse/victoria-general-nz,1/12/2016,1
7,PICHU,NZ,https://www.racenet.com.au/profiles/horse/pichu,https://www.racenet.com.au/profiles/horse/pichu-nz,5/10/2016,1
8,SKY CHAMPION,NZ,https://www.racenet.com.au/profiles/horse/sky-champion,https://www.racenet.com.au/profiles/horse/sky-champion-nz,10/10/2016,1
9,SAVAQUIN,NZ,https://www.racenet.com.au/profiles/horse/savaquin,https://www.racenet.com.au/profiles/horse/savaquin-nz,13/10/2016,1
10,IMA SINGLE MAN,AUS,https://www.racenet.com.au/profiles/horse/ima-single-man,https://www.racenet.com.au/profiles/horse/ima-single-man-aus,23/09/2017,1
11,HELENE WISDOM STAR,IRE,https://www.racenet.com.au/profiles/horse/helene-wisdom-star,https://www.racenet.com.au/profiles/horse/helene-wisdom-star-ire,14/04/2017,1
12,AION,AUS,https://www.racenet.com.au/profiles/horse/aion,https://www.racenet.com.au/profiles/horse/aion-aus,,0
13,STRONG ALLIANCE,AUS,https://www.racenet.com.au/profiles/horse/strong-alliance,https://www.racenet.com.au/profiles/horse/strong-alliance-aus,,0
14,MAN STAR,AUS,https://www.racenet.com.au/profiles/horse/man-star,https://www.racenet.com.au/profiles/horse/man-star-aus,27/10/2016,1
15,WEALTHY DELIGHT,AUS,https://www.racenet.com.au/profiles/horse/wealthy-delight,https://www.racenet.com.au/profiles/horse/wealthy-delight-aus,25/08/2016,1
16,VIVA CHEF,NZ,https://www.racenet.com.au/profiles/horse/viva-chef,https://www.racenet.com.au/profiles/horse/viva-chef-nz,17/10/2016,1
17,LUCKY TURBO,AUS,https://www.racenet.com.au/profiles/horse/lucky-turbo,https://www.racenet.com.au/profiles/horse/lucky-turbo-aus,Invalid Date,1
18,METRO WARRIOR,AUS,https://www.racenet.com.au/profiles/horse/metro-warrior,https://www.racenet.com.au/profiles/horse/metro-warrior-aus,,0
19,PRINCE OF BON BON,SAF,https://www.racenet.com.au/profiles/horse/prince-of-bon-bon,https://www.racenet.com.au/profiles/horse/prince-of-bon-bon-saf,,0
20,MORE THAN ENOUGH,NZ,https://www.racenet.com.au/profiles/horse/more-than-enough,https://www.racenet.com.au/profiles/horse/more-than-enough-nz,21/11/2015,1
21,TELECOM JAC,AUS,https://www.racenet.com.au/profiles/horse/telecom-jac,https://www.racenet.com.au/profiles/horse/telecom-jac-aus,,0
22,JOLLY GOOD HEART,AUS,https://www.racenet.com.au/profiles/horse/jolly-good-heart,https://www.racenet.com.au/profiles/horse/jolly-good-heart-aus,22/10/2015,1
23,SUPER COMMANDER,SAF,https://www.racenet.com.au/profiles/horse/super-commander,https://www.racenet.com.au/profiles/horse/super-commander-saf,1/8/2016,1
24,BLAZING BEAT,IRE,https://www.racenet.com.au/profiles/horse/blazing-beat,https://www.racenet.com.au/profiles/horse/blazing-beat-ire,5/2/2017,1
25,REWARDING TOGETHER,AUS,https://www.racenet.com.au/profiles/horse/rewarding-together,https://www.racenet.com.au/profiles/horse/rewarding-together-aus,,0
26,JOLLY FOREVER,AUS,https://www.racenet.com.au/profiles/horse/jolly-forever,https://www.racenet.com.au/profiles/horse/jolly-forever-aus,10/8/2016,1
27,DELIGHTFUL LAOS,IRE,https://www.racenet.com.au/profiles/horse/delightful-laos,https://www.racenet.com.au/profiles/horse/delightful-laos-ire,,0
28,HAPPY RUBY,SAF,https://www.racenet.com.au/profiles/horse/happy-ruby,https://www.racenet.com.au/profiles/horse/happy-ruby-saf,11/10/2016,1
29,SPEED TO EXCEED,IRE,https://www.racenet.com.au/profiles/horse/speed-to-exceed,https://www.racenet.com.au/profiles/horse/speed-to-exceed-ire,24/04/2017,1
30,KINDA COOL,NZ,https://www.racenet.com.au/profiles/horse/kinda-cool,https://www.racenet.com.au/profiles/horse/kinda-cool-nz,13/10/2016,1
31,PRIME MINISTER,NZ,https://www.racenet.com.au/profiles/horse/prime-minister,https://www.racenet.com.au/profiles/horse/prime-minister-nz,6/9/2009,1
32,GRATEFUL HEART,AUS,https://www.racenet.com.au/profiles/horse/grateful-heart,https://www.racenet.com.au/profiles/horse/grateful-heart-aus,9/8/2016,1
