Horse,Weight,Jockey,Draw,Trainer,Rtg.,Weight_Declared,Meeting_Number,Race_Type,Course,Distance,Prize,Ranking,Class,Date,Surface,Min_Temp,Max_Temp
DAILY CHARM,133,C Y Ho,11,C S Shum,40,1115,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
HEROIC CHAMPION,132,R Maia,2,P O'Sullivan,39,1094,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
JOY MASTER,131,K H Chan,4,D E Ferraris,38,1124,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
WAH MAY LUCK,131,A Badel,10,A S Cruz,38,1128,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
LIGHT MY DAY,130,K C Leung,1,C H Yip,37,1260,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
LUCKY MISSILE,129,A Hamelin,8,D J Hall,36,1129,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
INCREDIBLE,123,M L Yeung,5,T P Yung,30,1183,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
JIMMU,123,C L Chau,7,Y S Tsui,30,1108,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
PAKISTAN ZINDABAD,123,L Ferraris,3,W Y So,30,1128,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
SUPER FLAMES,122,K Teetan,14,L Ho,29,1122,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
DIAMOND STAR,119,V Borges,9,J Size,26,1033,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
FIGURES TWO,119,J Moreira,13,A T Millard,26,1242,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
NOBLE MAN,118,M Chadwick,6,K L Man,25,1114,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
RIGHTEOUS WIN,115,M F Poon,12,P F Yiu,22,1117,3,LUKFOOK JEWELLERY WEDDING COLLECTION HANDICAP,Sha Tin,1600,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,14,21
